name	url	category	percent	googleHits
David McCandless	http://www.davidmccandless.com/	Artist/Designer	0.52991452991453	124000
Aaron Koblin	http://www.aaronkoblin.com/	Artist/Designer	0.38888888888889	91000
Martin Wattenberg	http://www.bewitched.com/	Artist/Designer	0.39188034188034	91700
Ben Fry	http://benfry.com	Artist/Designer	0.39017094017094	91300
Jonathan Harris	http://www.number27.org/	Artist/Designer	0.34017094017094	79600
Boris Müller	http://esono.com	Artist/Designer	0.14188034188034	33200
Nicholas Felton	http://feltron.com/	Artist/Designer	0.078205128205128	18300
Jer Thorp	http://blprnt.com	Artist/Designer	0.072222222222222	16900
Moritz Stefaner	http://moritz.stefaner.eu/	Artist/Designer	0.059401709401709	13900
Marcos Weskamp	http://marumushi.com/	Artist/Designer	0.058119658119658	13600
Density Design	http://www.densitydesign.org/	Artist/Designer	0.040384615384615	9450
Stefanie Posavec	http://www.itsbeenreal.co.uk/	Artist/Designer	0.024871794871795	5820
Lisa Strausfeld	http://www.informationart.com/	Artist/Designer	0.021709401709402	5080
Nathan Yau	http://flowingdata.com	Blogger	0.077350427350427	18100
Manuel Lima	http://www.mslima.com/myhome.cfm	Blogger	0.051709401709402	12100
Andrew Vande Moere	http://infosthetics.com/	Blogger	0.043162393162393	10100
Benjamin Wiederkehr	http://datavisualization.ch/	Blogger	0.021752136752137	5090
Stamen	http://stamen.com	Company	1	234000
jess3	http://jess3.com	Company	0.42179487179487	98700
Bestiario	http://www.bestiario.org/	Company	0.076495726495726	17900
Ito World	http://www.itoworld.com/	Company	0.048290598290598	11300
Periscopic	http://periscopic.com/	Company	0.039145299145299	9160
Seed Media 	http://seedmediagroup.com/visualization/	Company	0.029188034188034	6830
Catalogtree	http://www.catalogtree.net/	Company	0.025897435897436	6060
Interactive Things	http://interactivethings.com/	Company	0.018205128205128	4260
mapize	http://www.mapize.com/	Company	0.008247863247863	1930
Pitch Interactive	http://www.pitchinteractive.com/	Company	0.007820512820513	1830
Hans Rosling	http://gapminder.com	Researcher	0.88888888888889	208000
Edward Tufte	http://tufte.com	Researcher	0.71367521367521	167000
Ben Shneiderman	http://www.cs.umd.edu/~ben/	Researcher	0.55128205128205	129000
Stephen Few	http://www.perceptualedge.com/blog/	Researcher	0.26025641025641	60900
Colin Ware	http://ccom.unh.edu/vislab/colin_ware.html	Researcher	0.20641025641026	48300
Jarke van Wijk	http://www.win.tue.nl/~vanwijk/	Researcher	0.19017094017094	44500
Jeffrey Heer	http://hci.stanford.edu/jheer/	Researcher	0.097008547008547	22700
Robert Kosara	http://eagereyes.org	Researcher	0.068376068376068	16000
Enrico Bertini	http://enrico.bertini.me/	Researcher	0.037820512820513	8850
Jean-Daniel Fekete	http://www.lri.fr/~fekete/	Researcher	0.073076923076923	17100
Daniel Keim	http://www.informatik.uni-konstanz.de/en/arbeitsgruppen/infovis/members/prof-dr-daniel-keim/	Researcher	0.11025641025641	25800
Tamara Munzner		Researcher	0.071367521367521	16700
